City_ID,City,Country,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed,Current Weather Description
283,Norfolk,US,42.1668,-71.2495,61.68,42,0,23.02,clear sky
284,Grand Gaube,MU,-20.0064,57.6608,79.38,83,7,3.0,clear sky
285,Varzea Grande,BR,-15.6467,-56.1325,89.47,62,75,3.44,broken clouds
286,Shahr-E Kord,IR,32.3256,50.8644,34.34,98,98,4.79,snow
287,Alta,NO,69.9689,23.2717,7.84,78,0,8.05,clear sky
288,Harper,LR,4.375,-7.7169,78.58,84,6,7.43,clear sky
289,Alekseyevskoye,RU,55.3071,50.1135,27.28,96,100,10.85,light snow
290,Nioki,CD,-2.7167,17.6833,76.82,74,92,1.77,overcast clouds
291,Geraldton,AU,-28.7667,114.6,68.41,77,2,10.36,clear sky
292,Excelsior Springs,US,39.3392,-94.2261,29.84,34,0,9.22,clear sky
293,Muli,MV,2.9167,73.5667,81.21,73,100,6.91,overcast clouds
294,Jardim De Piranhas,BR,-6.3786,-37.3519,83.48,60,83,6.58,broken clouds
295,Tsimlyansk,RU,47.6461,42.1019,32.68,96,100,17.09,light snow
296,Maceio,BR,-9.6658,-35.7353,85.44,61,0,16.11,clear sky
297,Severnyy,RU,50.677,36.5532,26.64,86,0,13.42,clear sky
298,Bay-Khaak,RU,51.1667,94.5,-27.6,93,10,3.89,clear sky
299,Muros,ES,42.7762,-9.0603,53.24,89,10,4.99,clear sky
300,Barnala,IN,30.3833,75.55,48.11,64,0,3.58,clear sky
301,Teguldet,RU,57.3064,88.1667,-0.54,89,6,9.91,clear sky
302,Kurmanayevka,RU,52.5093,52.0675,21.07,99,100,4.07,overcast clouds
303,Holsted,DK,55.5109,8.9187,39.65,70,100,23.2,overcast clouds
304,Rincon,US,32.296,-81.2354,68.45,37,75,3.44,broken clouds
305,Sechura,PE,-5.5569,-80.8222,80.8,57,100,14.18,overcast clouds
306,Sakakah,SA,29.9697,40.2064,51.35,36,0,4.81,clear sky
307,Krasnoselkup,RU,65.7,82.4667,-7.2,91,6,12.08,clear sky
308,Chake Chake,TZ,-5.2459,39.7666,77.77,78,100,4.65,overcast clouds
309,Beyneu,KZ,45.3167,55.2,37.94,84,100,8.25,overcast clouds
310,Uruzgan,AF,32.8333,66.0,40.93,39,87,6.31,overcast clouds
311,Straumen,NO,63.8709,11.2999,37.4,91,100,3.27,light rain
312,Molde,NO,62.7375,7.1591,42.73,93,75,8.05,broken clouds
313,Shubarkuduk,KZ,49.1447,56.4872,17.11,98,100,4.54,overcast clouds
314,Oktyabrskiy,RU,54.4815,53.471,24.3,95,100,6.91,overcast clouds
315,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,23.02,few clouds
316,Sidi Ali,DZ,36.0998,0.4206,49.3,86,2,4.68,clear sky
317,Kamenka,RU,51.3223,42.7678,22.87,96,94,10.09,light snow
318,Atkarsk,RU,51.8718,45.0078,26.47,97,99,6.22,overcast clouds
319,Mkushi,ZM,-13.6202,29.3939,61.14,93,48,4.0,scattered clouds
320,Newtonmore,GB,57.066,-4.1192,41.68,94,99,15.21,overcast clouds
321,Payakumbuh,ID,-0.2202,100.6308,69.19,98,91,1.61,overcast clouds
322,Iskateley,RU,67.6803,53.1512,10.96,94,98,10.36,overcast clouds
323,Xai-Xai,MZ,-25.0519,33.6442,74.23,79,0,7.83,clear sky
324,Lar,IN,26.2039,83.9717,51.73,66,0,4.76,clear sky
325,Verkhnyaya Inta,RU,65.9811,60.3094,5.67,91,100,10.09,overcast clouds
326,Myitkyina,MM,25.3833,97.4,52.41,91,3,2.62,clear sky
327,Elburg,NL,52.4475,5.8431,40.98,64,96,1.01,overcast clouds
328,Leo,BF,11.1,-2.1,79.66,11,3,4.97,clear sky
329,Iqaluit,CA,63.7506,-68.5145,-35.23,97,94,3.02,overcast clouds
330,San Cristobal,VE,7.7669,-72.225,77.18,37,100,5.99,overcast clouds
331,Mastic Beach,US,40.7668,-72.8521,59.25,47,0,17.0,clear sky
